name,party,chamber,district,partyUnity,independenceRate,votedWithParty,partyLineVotes,participationRate,missedRate,cast,missed,totalRollCalls,presidingOfficer,id
Bill Hitchens,Republican,House of Representatives,161,0.9941,0.0059,336,338,0.9424,0.0576,1177,72,1249,false,ocd-person/4a9ef816-9130-4510-a19e-3124e3f2aeed
Carl Gilliard,Democratic,House of Representatives,162,0.9494,0.0506,225,237,0.743,0.257,928,321,1249,false,ocd-person/562e162f-2a60-441c-956b-11db12eef266
Anne Westbrook,Democratic,House of Representatives,163,0.9963,0.0037,266,267,0.8567,0.1433,1070,179,1249,false,ocd-person/e16d6516-badc-4682-9e3a-84f30a44b060
Ron Stephens,Republican,House of Representatives,164,1.0,0.0,343,343,0.98,0.02,1224,25,1249,false,ocd-person/aeaeb854-ff9c-47cb-8069-395b60ba05b2
Edna Jackson,Democratic,House of Representatives,165,1.0,0.0,23,23,0.9846,0.0154,447,7,454,false,ocd-person/18427775-e3e7-4730-bb6f-722616e6aebe
Jesse Petrea,Republican,House of Representatives,166,0.9971,0.0029,339,340,0.8695,0.1305,1086,163,1249,false,ocd-person/38c596a4-df69-4a56-9329-be73f26bc7d5
Buddy DeLoach,Republican,House of Representatives,167,0.9926,0.0074,270,272,0.8663,0.1337,1082,167,1249,false,ocd-person/d40576ac-fbc0-4b42-98ee-f6362063784d
Al Williams,Democratic,House of Representatives,168,0.9968,0.0032,313,314,0.9497,0.0503,887,47,934,false,ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77
Angie O'Steen,Republican,House of Representatives,169,1.0,0.0,273,273,0.8623,0.1377,1077,172,1249,false,ocd-person/1d0deded-daaa-425b-b6aa-3612492dca5b
Jaclyn Ford,Republican,House of Representatives,170,0.9971,0.0029,343,344,0.9952,0.0048,1243,6,1249,false,ocd-person/37602f7b-947e-4067-8f2e-b2fec620643e
Joe Campbell,Republican,House of Representatives,171,1.0,0.0,1,1,1.0,0.0,781,0,781,false,ocd-person/c862c17f-ed00-41d7-97e5-1138f451a96c
Chas Cannon,Republican,House of Representatives,172,0.75,0.25,3,4,0.9915,0.0085,580,5,585,false,ocd-person/cba2f06c-773c-49d3-949c-b1a2db377c21
Darlene Taylor,Republican,House of Representatives,173,1.0,0.0,4,4,0.9987,0.0013,777,1,778,false,ocd-person/d00eb950-0fb6-41ab-ae22-8e9ce84d7cf0
John Corbett,Republican,House of Representatives,174,0.9942,0.0058,340,342,0.98,0.02,1224,25,1249,false,ocd-person/a34c9a5a-f307-4c07-b766-3b3b1148d7b1
John LaHood,Republican,House of Representatives,175,1.0,0.0,332,332,0.968,0.032,1209,40,1249,false,ocd-person/9249be26-54d2-467a-88ec-2588b886148d
James Burchett,Republican,House of Representatives,176,1.0,0.0,344,344,0.9968,0.0032,1245,4,1249,false,ocd-person/dbce462d-74e3-42d3-bd6c-3b9f8eeb69fe
Steven Meeks,Republican,House of Representatives,178,0.9942,0.0058,340,342,0.9384,0.0616,1172,77,1249,false,ocd-person/3194a8e0-aaf8-4686-b2c9-a22521f85fff
Rick Townsend,Republican,House of Representatives,179,0.9942,0.0058,342,344,0.9984,0.0016,1247,2,1249,false,ocd-person/1da20ad9-1a05-42ab-addb-7fbf295a0e5d
Steven Sainz,Republican,House of Representatives,180,0.9824,0.0176,334,340,0.9376,0.0624,1171,78,1249,false,ocd-person/99082062-acd6-4c6b-bb45-2cfa071f19fc
Ben Watson,Republican,Senate,1,0.9895,0.0105,284,287,0.9991,0.0009,1097,1,1098,false,ocd-person/fd2717f1-6294-4601-a027-8fc41195372c
Derek Mallow,Democratic,Senate,2,0.9414,0.0586,225,239,0.8278,0.1722,1038,216,1254,false,ocd-person/73918c45-83c1-4d52-a84d-3ad7ad8de40b
Mike Hodges,Republican,Senate,3,0.9688,0.0312,311,321,0.9601,0.0399,1204,50,1254,false,ocd-person/011995be-4dd0-43b2-ae75-57ae45f53576
Billy Hickman,Republican,Senate,4,0.9777,0.0223,307,314,0.941,0.059,1180,74,1254,false,ocd-person/449db918-10b7-4fa7-a047-eb9de416dce3
Sheikh Rahman,Democratic,Senate,5,0.9699,0.0301,290,299,0.8868,0.1132,1112,142,1254,false,ocd-person/5b6e0e37-802b-4103-b401-551532aba2e7
Matt Brass,Republican,Senate,6,0.8922,0.1078,273,306,0.9378,0.0622,1176,78,1254,false,ocd-person/81b84318-8c9f-467f-a7c1-776d9c415f51
Russ Goodman,Republican,Senate,8,0.9748,0.0252,310,318,0.9737,0.0263,1221,33,1254,false,ocd-person/b90b899d-87f0-43a5-9d15-6e310187ac41
Nikki Merritt,Democratic,Senate,9,0.9505,0.0495,288,303,0.9147,0.0853,1147,107,1254,false,ocd-person/57ad1f65-9969-4be2-b262-684bf53123fb
Emanuel Jones,Democratic,Senate,10,0.8735,0.1265,214,245,0.8274,0.1726,1007,210,1217,false,ocd-person/acc7c167-6251-4ce8-8021-511acfa291ef
Sam Watson,Republican,Senate,11,0.9895,0.0105,284,287,0.9991,0.0009,1097,1,1098,false,ocd-person/cbcdfca3-e47d-4b32-9164-ec0709a134bf
Freddie Powell Sims,Democratic,Senate,12,0.8902,0.1098,146,164,0.5603,0.4397,683,536,1219,false,ocd-person/a0bfdc0d-4110-4cd2-b83c-834bba4300f5
Carden Summers,Republican,Senate,13,0.8836,0.1164,281,318,0.988,0.012,1239,15,1254,false,ocd-person/98850c9f-1c37-4177-9ad8-17d2b4d3c8d4
Josh McLaurin,Democratic,Senate,14,0.9545,0.0455,294,308,0.949,0.051,1190,64,1254,false,ocd-person/b83b0486-773f-4979-a1ce-e2f7f3e6d7e1
Ed Harbison,Democratic,Senate,15,0.9146,0.0854,257,281,0.9099,0.0901,1141,113,1254,false,ocd-person/4cf7c975-678b-4e21-9877-6d22d7b37916
Marty Harbin,Republican,Senate,16,0.9904,0.0096,309,312,0.937,0.063,1175,79,1254,false,ocd-person/078246e9-90b8-43aa-bb92-d7016f517b8e
Gail Davenport,Democratic,Senate,17,0.9933,0.0067,297,299,0.9442,0.0558,1184,70,1254,false,ocd-person/df023a79-0194-4d1a-8755-5dee4053e1cc
Steven McNeel,Republican,Senate,18,0.9829,0.0171,172,175,0.9924,0.0076,656,5,661,false,ocd-person/516cb969-9467-490f-9a05-02c3e7decae3
Blake Tillery,Republican,Senate,19,0.9721,0.0279,279,287,0.8876,0.1124,1113,141,1254,false,ocd-person/e9c5a2fc-3354-49e1-ac29-783502155fe7
Larry Walker,Republican,Senate,20,0.985,0.015,262,266,0.7552,0.2448,947,307,1254,false,ocd-person/44a51125-9e82-41f6-8d4f-a646895b5994
Jason Dickerson,Republican,Senate,21,0.959,0.041,187,195,0.9822,0.0178,717,13,730,false,ocd-person/584267b0-e40b-4d6e-a7fe-4c076eb6214c
Harold Jones,Democratic,Senate,22,0.9565,0.0435,286,299,0.8246,0.1754,1034,220,1254,false,ocd-person/d7bfd125-d343-4acd-a4dc-480daf241af3
Rick Williams,Republican,Senate,25,0.914,0.086,287,314,0.9819,0.0181,1195,22,1217,false,ocd-person/c7860bae-9d9c-449c-9903-20230eec50ac
David Lucas,Democratic,Senate,26,0.8851,0.1149,231,261,0.8126,0.1874,1019,235,1254,false,ocd-person/4b05e770-4423-4b64-8ae1-9600e8c73244
Greg Dolezal,Republican,Senate,27,0.9808,0.0192,307,313,0.9689,0.0311,1215,39,1254,false,ocd-person/1f7d013a-8861-4e08-b6bf-7c8d36f8107c
Donzella James,Democratic,Senate,28,0.9756,0.0244,280,287,0.8397,0.1603,1053,201,1254,false,ocd-person/7f88fadb-2f51-48c7-8ae5-e20cd2f33e4a
Randy Robertson,Republican,Senate,29,0.9843,0.0157,314,319,0.9633,0.0367,1208,46,1254,false,ocd-person/6da7fe11-4436-4854-8e1b-4c45dc4cdaac
Tim Bearden,Republican,Senate,30,0.9006,0.0994,281,312,0.9314,0.0686,1168,86,1254,false,ocd-person/93f45299-bfa2-4458-844a-5c6b9bdd8c1d
Jason Anavitarte,Republican,Senate,31,0.9591,0.0409,305,318,0.9705,0.0295,1217,37,1254,false,ocd-person/cb7d8c1d-3c26-4f35-8d37-d1cf8a7ce207
Kay Kirkpatrick,Republican,Senate,32,0.9169,0.0831,287,313,0.9641,0.0359,1209,45,1254,false,ocd-person/fc31ab02-026c-4173-86db-570c0b297c64
Doc Rhett,Democratic,Senate,33,0.9734,0.0266,293,301,0.9458,0.0542,1186,68,1254,false,ocd-person/efb9168c-b45a-4f43-bba5-d6f05e7d9cbe
Kenya Wicks,Democratic,Senate,34,0.9745,0.0255,267,274,0.8517,0.1483,1068,186,1254,false,ocd-person/0a816fbf-e5ec-4056-8b3e-08184400e71b
Jaha Howard,Democratic,Senate,35,0.9735,0.0265,184,189,0.9395,0.0605,683,44,727,false,ocd-person/fcd57129-480c-4fba-a0d1-7fb369706611
Nan Orrock,Democratic,Senate,36,0.9759,0.0241,283,290,0.9099,0.0901,1141,113,1254,false,ocd-person/bf2c1ec5-d995-4605-85ac-139adb037d99
Ed Setzler,Republican,Senate,37,0.9635,0.0365,290,301,0.8907,0.1093,1117,137,1254,false,ocd-person/777f58bb-9d6b-4755-ab7b-b94d11629cb5
RaShaun Kemp,Democratic,Senate,38,0.9666,0.0334,289,299,0.9609,0.0391,1205,49,1254,false,ocd-person/069fb4fa-766b-40e4-90b7-ce96b4fa2ace
Sonya Halpern,Democratic,Senate,39,0.9256,0.0744,286,309,0.8987,0.1013,1127,127,1254,false,ocd-person/2abbbe23-8cb6-4f33-afaf-38ce88a4e10c
Sally Harrell,Democratic,Senate,40,0.9582,0.0418,275,287,0.9123,0.0877,1144,110,1254,false,ocd-person/218a4fc4-a568-4b78-b350-0d60c6b12d4c
Kim Jackson,Democratic,Senate,41,0.9799,0.0201,293,299,0.8981,0.1019,1093,124,1217,false,ocd-person/2f8621bc-0548-457c-8b0d-9148e14b77fe
Brian Strickland,Republican,Senate,42,0.9664,0.0336,288,298,0.9537,0.0463,1196,58,1254,false,ocd-person/3a5721a0-d848-40d0-a48a-66b797e7d7d9
Elena Parent,Democratic,Senate,44,0.9517,0.0483,256,269,0.8732,0.1268,1095,159,1254,false,ocd-person/3f15ad5e-877d-44aa-b5b3-b24587c42685
Clint Dixon,Republican,Senate,45,0.9621,0.0379,305,317,0.9785,0.0215,1227,27,1254,false,ocd-person/17a7e011-73f2-4ac5-8470-3436b47a6744
Bill Cowsert,Republican,Senate,46,0.9656,0.0344,309,320,0.949,0.051,1190,64,1254,false,ocd-person/4dc87191-fa52-4c2f-bc9c-8823a8b4c882
Frank Ginn,Republican,Senate,47,0.981,0.019,309,315,0.9801,0.0199,1229,25,1254,false,ocd-person/9e417b67-da09-4516-b858-6b2458f53633
Shawn Still,Republican,Senate,48,0.9904,0.0096,310,313,0.9673,0.0327,1213,41,1254,false,ocd-person/314d7845-ba55-4bd4-809a-c7c7aea26690
Drew Echols,Republican,Senate,49,0.9936,0.0064,312,314,0.9474,0.0526,1188,66,1254,false,ocd-person/6be704ef-6250-4e08-86d3-f5fa2e1eebf3
Steve Gooch,Republican,Senate,51,0.971,0.029,301,310,0.9705,0.0295,1217,37,1254,false,ocd-person/e2c141e9-9e04-4e2b-8e5b-57db594c7abc
Chuck Hufstetler,Republican,Senate,52,0.9671,0.0329,294,304,0.8971,0.1029,1125,129,1254,false,ocd-person/b11d0191-cd84-4a93-add6-ee65494caff2
Chuck Payne,Republican,Senate,54,0.9968,0.0032,310,311,0.992,0.008,1244,10,1254,false,ocd-person/1ac93f89-f367-4de3-82ba-79fa78d4d134
Randal Mangham,Democratic,Senate,55,0.9787,0.0213,276,282,0.8931,0.1069,1120,134,1254,false,ocd-person/8798a822-fee8-4546-bcdd-455f788bef44
John Albers,Republican,Senate,56,0.981,0.019,309,315,0.9681,0.0319,1214,40,1254,false,ocd-person/ac1cac30-3fec-4c56-b172-b483db465a6b
