voteId,date,bill,title,motionText,yea,nay,result,billUrl
ocd-vote/6bbec577-321f-473a-a221-ccb919ca545b,2026-06-23,HB 74,"Dexter, City of; ad valorem tax; provide homestead exemption",House Vote #16 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74842
ocd-vote/781dad85-346c-4bf9-954d-1ee8c3f04a91,2026-06-23,HB 75,Lanier County; ad valorem tax; provide homestead exemption,House Vote #14 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74843
ocd-vote/7c805cce-b87d-4402-af57-98c987f3768a,2026-06-23,HB 72,"Patterson, City of; ad valorem tax; provide homestead exemption",House Vote #16 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74840
ocd-vote/80ea7611-1b58-43f3-9c89-c94a9c7e83a3,2026-06-23,HB 76,Taylor County; ad valorem tax; provide homestead exemption,House Vote #15 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74844
ocd-vote/8af4e109-45e5-47cb-8c7b-0d31adac797e,2026-06-23,HB 75,Lanier County; ad valorem tax; provide homestead exemption,House Vote #15 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74843
ocd-vote/923f7def-3e87-4a5d-8971-4a826464d951,2026-06-23,HB 81,"Santa Claus, City of; ad valorem tax; provide homestead exemption",House Vote #13 - 2026 Special Session,96,71,Pass,https://www.legis.ga.gov/legislation/74849
ocd-vote/9388a221-001f-482d-9e42-29f0fcd6281d,2026-06-23,HB 68,"Lyons, City of; ad valorem tax; provide homestead exemption",House Vote #16 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74832
ocd-vote/98411e84-e8bf-4972-882b-4fda78488029,2026-06-23,HB 79,Tift County; ad valorem tax; provide homestead exemption,House Vote #13 - 2026 Special Session,96,71,Pass,https://www.legis.ga.gov/legislation/74847
ocd-vote/99ee3153-d1c0-4d1a-a3f1-a9e893174cb1,2026-06-23,HB 83,Forsyth County; ad valorem tax; provide homestead exemption,House Vote #14 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74859
ocd-vote/9b45b863-d7d7-4764-966b-4d0ac26b254b,2026-06-23,SB 3,Election Equipment Specifications and Standards Committee; establish,House Vote #18 - 2026 Special Session,94,79,Pass,https://www.legis.ga.gov/legislation/74767
ocd-vote/9b9e278c-528b-44c3-84ab-e405dec198e4,2026-06-23,HB 76,Taylor County; ad valorem tax; provide homestead exemption,House Vote #14 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74844
ocd-vote/b4a2be14-717d-4aa2-ab49-266c611c4118,2026-06-23,HB 74,"Dexter, City of; ad valorem tax; provide homestead exemption",House Vote #17 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74842
ocd-vote/b6e30548-96ac-4365-9963-00d0ce4d57f0,2026-06-23,SB 6,Stephens County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #26 - 2026 Special Session,32,20,Pass,https://www.legis.ga.gov/legislation/74858
ocd-vote/b992a3bc-790d-4863-acba-21d0b4a828d5,2026-06-23,HB 82,Telfair County; ad valorem tax; provide homestead exemption,House Vote #13 - 2026 Special Session,96,71,Pass,https://www.legis.ga.gov/legislation/74857
ocd-vote/ba371a75-7b82-4370-bbeb-1392ca37450e,2026-06-23,HB 82,Telfair County; ad valorem tax; provide homestead exemption,House Vote #14 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74857
ocd-vote/bdf9d984-9b2c-4671-bdda-e7ecf3e4e8da,2026-06-23,HB 79,Tift County; ad valorem tax; provide homestead exemption,House Vote #14 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74847
ocd-vote/cdb63744-0e35-4715-835e-77522df00cdb,2026-06-23,HB 78,"Tifton, City of; ad valorem tax; provide homestead exemption",House Vote #13 - 2026 Special Session,96,71,Pass,https://www.legis.ga.gov/legislation/74846
ocd-vote/e007075c-8d5e-4ceb-8d07-615f9ba868b2,2026-06-23,HB 70,Toombs County; ad valorem tax; provide homestead exemption,House Vote #17 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74838
ocd-vote/f1dd6ac7-cb69-44b7-9d13-b9a2cb903617,2026-06-23,HB 68,"Lyons, City of; ad valorem tax; provide homestead exemption",House Vote #17 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74832
ocd-vote/f473d4fb-2859-462d-8b8d-e9a45af11492,2026-06-23,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #27 - 2026 Special Session,19,32,Fail,https://www.legis.ga.gov/legislation/74767
ocd-vote/f9a7491d-f01c-434c-ae05-f4cfb463a76b,2026-06-23,HB 79,Tift County; ad valorem tax; provide homestead exemption,House Vote #15 - 2026 Special Session,97,72,Pass,https://www.legis.ga.gov/legislation/74847
